Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
CP-2523MJCT-ND,CUI INC (VA),MJ-2523-SMT-TR,J1,1,0,0,13 Weeks,CONN JACK MONO 2.5MM SMD R/A,,RoHS Compliant,Lead free,Not Available
MCP73832T-2ATI/OTCT-ND,MICROCHIP TECHNOLOGY (VA),MCP73832T-2ATI/OT,M1,1,0,0,7 Weeks,IC LI-ION/LI-POLY CTRLR SOT23-5,,RoHS Compliant,Lead free,Unaffected Dec-2015
ATTINY25-20SURCT-ND,ATMEL (VA),ATTINY25-20SUR,U1,1,0,0,6 Weeks,IC MCU 8BIT 2KB FLASH 8SOIC,,RoHS Compliant,Lead free,Unaffected Dec-2015
311-200GRCT-ND,YAGEO (VA),RC0603JR-07200RL,R1,1,0,0,22 Weeks,RES SMD 200 OHM 5% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Dec-2015
490-3298-1-ND,MURATA ELECTRONICS (VA),GRM188R60G106ME47D,"C1, C4",2,0,0,20 Weeks,CAP CER 10UF 4V X5R 0603,,RoHS Compliant,Lead free,Unaffected Dec-2015
160-2033-1-ND,LITE-ON INC (VA),LTST-S326KGJRKT,L1,1,0,0,10 Weeks,LED GREEN/RED CLEAR 2SMD R/A,,RoHS Compliant,Lead free,Unaffected Dec-2015
EG2528CT-ND,E-SWITCH (VA),TL3302AF180QG,B1,1,0,0,11 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,,RoHS Compliant,Lead free,Unaffected Dec-2014
785-1012-1-ND,ALPHA & OMEGA SEMICONDUCTOR INC (VA),AO3418,Q1,1,0,0,12 Weeks,MOSFET N-CH 30V 3.8A SOT23,,RoHS Compliant,Lead free,Unaffected Dec-2015
P10KGCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ103V,R3,1,0,0,6 Weeks,RES SMD 10K OHM 5% 1/10W 0603,,RoHS Compliant,Lead free,Unaffected Jun-2015
BAT54XV2T1GOSCT-ND,ON SEMICONDUCTOR (VA),BAT54XV2T1G,D3,1,0,0,11 Weeks,DIODE SCHOTTKY 30V 200MA SOD523,,RoHS Compliant,Lead free,Unaffected Dec-2015
